ID,Title,Source,Format,isPartOf,Type,isFormatOf ,isRequiredBy 
186,Module_03_Ideation-Generating_Alternatives_I_Learn.txt,EECS3461,.txt,Module_03_Ideation-Generating_Alternatives_I,iER,,
187,Module_03_Ideation-Generating_Alternatives_I_Share.txt,EECS3461,.txt,Module_03_Ideation-Generating_Alternatives_I,iER,,
188,Module_02_Research_I_Assess.txt,EECS3461,.txt,Module_02_Research_I,iER,,
189,Module_02_Research_I_Share.txt,EECS3461,.txt,Module_02_Research_I,iER,,
190,EECS3461_Module_02_Research_I_links.txt,EECS3461,.txt,Module_02_Research_I,iER,,
191,Module_02_Research_I_Learn.txt,EECS3461,.txt,Module_02_Research_I,iER,,
192,EECS3461_Module_02_Research_I_content.txt,EECS3461,.txt,Module_02_Research_I,iER,,
193,Module_02_Research_I_Overview.txt,EECS3461,.txt,Module_02_Research_I,iER,,
194,Module_02_Research_I_Reflect.txt,EECS3461,.txt,Module_02_Research_I,iER,,
195,Module_02_Research_I_Practice.txt,EECS3461,.txt,Module_02_Research_I,iER,,
196,Module_10_Third_Paradigm_HCI_Overview.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
197,Module_10_Third_Paradigm_HCI_Reflect.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
198,EECS3461_Module_10_Third_Paradigm_HCI_links.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
199,Module_10_Third_Paradigm_HCI_Practice.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
200,EECS3461_Module_10_Third_Paradigm_HCI_content.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
201,Module_10_Third_Paradigm_HCI_Assess.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
202,Module_10_Third_Paradigm_HCI_Learn.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
203,Module_10_Third_Paradigm_HCI_Share.txt,EECS3461,.txt,Module_10_Third_Paradigm_HCI,iER,,
204,EECS3461_Module_01_Basic_Concepts_&_Dark_Patterns_content.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
205,EECS3461_Module_01_Basic_Concepts_&_Dark_Patterns_links.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
206,Module_01_Basic_Concepts_&_Dark_Patterns_Practice.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
207,Module_01_Basic_Concepts_&_Dark_Patterns_Assess.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
208,Module_01_Basic_Concepts_&_Dark_Patterns_Reflect.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
209,Module_01_Basic_Concepts_&_Dark_Patterns_Overview.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
210,Module_01_Basic_Concepts_&_Dark_Patterns_Learn.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
211,Module_01_Basic_Concepts_&_Dark_Patterns_Share.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
212,Module_00_Intro_(half_week)_Learn.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
213,Module_00_Intro_(half_week)_Assess.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
214,EECS3461_Module_00_Intro_(half_week)_links.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
215,EECS3461_Module_00_Intro_(half_week)_content.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
216,Module_00_Intro_(half_week)_Overview.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
217,Module_00_Intro_(half_week)_Practice.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
218,EECS3461_Module_11_Course_Outro_content.txt,EECS3461,.txt,Module_11_Course_Outro,iER,,
219,EECS3461_Module_11_Course_Outro_links.txt,EECS3461,.txt,Module_11_Course_Outro,iER,,
220,Module_11_Course_Outro_Overview.txt,EECS3461,.txt,Module_11_Course_Outro,iER,,
221,EECS3461_Module_08_Prototyping_II_content.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
222,Module_08_Prototyping_II_Overview.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
223,Module_08_Prototyping_II_Share.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
224,Module_08_Prototyping_II_Learn.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
225,Module_08_Prototyping_II_Assess.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
226,Module_08_Prototyping_II_Reflect.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
227,Module_08_Prototyping_II_Practice.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
228,EECS3461_Module_08_Prototyping_II_links.txt,EECS3461,.txt,Module_08_Prototyping_II,iER,,
229,Module_06_Research_II_Share.txt,EECS3461,.txt,Module_06_Research_II,iER,,
230,Module_06_Research_II_Learn.txt,EECS3461,.txt,Module_06_Research_II,iER,,
231,Module_06_Research_II_Practice.txt,EECS3461,.txt,Module_06_Research_II,iER,,
232,Module_06_Research_II_Reflect.txt,EECS3461,.txt,Module_06_Research_II,iER,,
233,EECS3461_Module_06_Research_II_content.txt,EECS3461,.txt,Module_06_Research_II,iER,,
234,Module_06_Research_II_Overview.txt,EECS3461,.txt,Module_06_Research_II,iER,,
235,EECS3461_Module_06_Research_II_links.txt,EECS3461,.txt,Module_06_Research_II,iER,,
236,Module_06_Research_II_Assess.txt,EECS3461,.txt,Module_06_Research_II,iER,,
237,Module_05_Evaluating-Testing_I_Reflect.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
238,Module_05_Evaluating-Testing_I_Share.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
239,Module_05_Evaluating-Testing_I_Learn.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
240,Module_05_Evaluating-Testing_I_Practice.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
241,EECS3461_Module_05_Evaluating-Testing_I_links.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
242,Module_05_Evaluating-Testing_I_Overview.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
243,Module_05_Evaluating-Testing_I_Assess.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
244,EECS3461_Module_05_Evaluating-Testing_I_content.txt,EECS3461,.txt,Module_05_Evaluating-Testing_I,iER,,
245,Module_07_Ideation-Generating_Alternatives_II,EECS3461,dir,,mER,,
246,Module_04_Prototyping_I,EECS3461,dir,,mER,,
247,ResourcePacks,EECS3461,dir,,mER,,
248,EECS3461_Outline,EECS3461,dir,,mER,,
249,Module_09_Evaluating-Testing_II,EECS3461,dir,,mER,,
250,Module_03_Ideation-Generating_Alternatives_I,EECS3461,dir,,mER,,
251,Course Syllabus,EECS3461,dir,,mER,,
252,Module_02_Research_I,EECS3461,dir,,mER,,
253,Module_10_Third_Paradigm_HCI,EECS3461,dir,,mER,,
254,Module_01_Basic_Concepts_&_Dark_Patterns,EECS3461,dir,,mER,,
255,Module_00_Intro_(half_week),EECS3461,dir,,mER,,
256,Module_11_Course_Outro,EECS3461,dir,,mER,,
257,Module_08_Prototyping_II,EECS3461,dir,,mER,,
258,Module_06_Research_II,EECS3461,dir,,mER,,
259,3461f21 Content Bank,EECS3461,dir,,mER,,
260,Module_05_Evaluating-Testing_I,EECS3461,dir,,mER,,
